Player;Pos.;2024 Team;2025 Team;Type;Snaps;Age;Current APY;Guarantees
Marquez Valdes-Scantling;WR;Saints;;UFA;44.0%;31;$1,125,000;$0
Jalyn Holmes;IDL;Commanders;;UFA;24.0%;29;$1,125,000;$0
Tyus Bowser;EDGE;Dolphins;;UFA;25.9%;30;$1,125,000;$0
Kevin King;CB;Falcons;;UFA;6.4%;30;$1,125,000;$0
Tarvarius Moore;S;Bears;;UFA;0.0%;29;$1,125,000;$0
Ronnie Harrison;S;Colts;;UFA;0.3%;28;$1,125,000;$0
Oren Burks;LB;Eagles;;UFA;14.0%;30;$1,125,000;$0
Greg Dortch;WR;Cardinals;;RFA;39.4%;27;$1,125,000;$0
Lil'Jordan Humphrey;WR;Broncos;;UFA;49.5%;27;$1,125,000;$0
Geron Christian;LT;Browns;;UFA;0.0%;29;$1,125,000;$0
Brandon Parker;RT;Falcons;;UFA;0.0%;30;$1,125,000;$0
Max Scharping;RG;Steelers;;UFA;0.6%;29;$1,125,000;$0
Trayvon Mullen;CB;Ravens;;UFA;0.0%;28;$1,080,000;$0
Jay Tufele;IDL;Bengals;;UFA;21.4%;26;$1,076,421;$825,684
Tyler Davis;TE;Packers;;UFA;0.0%;28;$1,075,000;$0
James Hudson;RT;Browns;;UFA;18.8%;26;$1,068,104;$792,416
Juwann Winfree;WR;Colts;;UFA;0.0%;29;$1,067,500;$0
Lester Cotton;LG;Patriots;;RFA;7.0%;29;$1,067,500;$0
Cameron Sample;EDGE;Bengals;;UFA;0.0%;26;$1,067,037;$788,148
Derrick Barnes;LB;Lions;;UFA;10.9%;26;$1,065,302;$781,208
Drew Dalman;C;Falcons;;UFA;48.5%;27;$1,064,181;$776,724
Bobby Brown III;IDL;Rams;;UFA;42.3%;25;$1,059,133;$756,532
Chris Rumph II;EDGE;Chargers;;UFA;0.0%;27;$1,058,385;$753,540
Harrison Hand;CB;Falcons;;RFA;0.0%;27;$1,055,000;$0
Jake Hanson;RG;Jets;;UFA;9.6%;28;$1,055,000;$0
Jack Stoll;TE;Dolphins;;UFA;17.6%;27;$1,055,000;$0
